| Edible | Polypore | Convex | Bellshaped | Flat | Depressed | CupFungi | CoralFungi | Knobbed | Conical | JellyFungi | Stinkhorns | Earthstars | Bolete | ToothFungi | Shellshaped | Funnelshaped | Puffballs | Corticioid | Chanterelles | Cylindrical | Truffles | FalseMorels | TrueMorels | Cauliflower | Smooth | Fibrous | FlatScales | Patches | Silky | RaisedScales | Hairy | Powder | Velvety | R    | G    | B    |
|--------|----------|--------|------------|------|-----------|----------|------------|---------|---------|------------|------------|------------|--------|------------|-------------|--------------|-----------|------------|--------------|-------------|----------|-------------|------------|-------------|--------|---------|------------|---------|-------|--------------|-------|--------|---------|------|------|------|
| 2      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 219  | 112  | 147  |
| 0      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 127  |
| 0      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | -255 | -255 | -255 |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 1       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 237  | 183  | 201  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 0       | 210  | 148  | 148  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 117  | 122  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 219  | 112  | 147  |
| 2      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 148  | 148  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 146  | 21   | 85   |
